"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Mar 14 18:30:32 GMT 2024","Thu Mar 14 18:30:35 GMT 2024","3298","","Login page","","","","should error with invalid credentials",""
"passed","Thu Mar 14 18:30:32 GMT 2024","Thu Mar 14 18:30:35 GMT 2024","3276","","Login page","","","","should login with valid credentials",""
"passed","Thu Mar 14 18:30:35 GMT 2024","Thu Mar 14 18:30:36 GMT 2024","621","","Login page","","","","should error with no credentials",""
"passed","Thu Mar 14 18:30:36 GMT 2024","Thu Mar 14 18:30:36 GMT 2024","515","","Login page","","","","should error with no credentials",""
"passed","Thu Mar 14 18:30:20 GMT 2024","Thu Mar 14 18:30:22 GMT 2024","1561","","Login page","","","","should error with invalid credentials",""
"passed","Thu Mar 14 18:30:20 GMT 2024","Thu Mar 14 18:30:22 GMT 2024","1698","","Login page","","","","should login with valid credentials",""
"passed","Thu Mar 14 18:30:34 GMT 2024","Thu Mar 14 18:30:36 GMT 2024","1927","","Login page","","","","should error with invalid credentials",""
"passed","Thu Mar 14 18:30:34 GMT 2024","Thu Mar 14 18:30:36 GMT 2024","1920","","Login page","","","","should login with valid credentials",""
"passed","Thu Mar 14 18:30:22 GMT 2024","Thu Mar 14 18:30:22 GMT 2024","353","","Login page","","","","should error with no credentials",""
